Operator Name,Certificate #,State,FAA Office,Phone,Email,Contacted,Notes
EAGLE RIVER AIR LLC,3ERA,Alaska,AL03 - Anchorage  (ANC),,,No,
EGLI AIR HAUL INC,HRPA,Alaska,AL03 - Anchorage  (ANC),,,No,
EIDER AIR SERVICE LLC,3EVC,Alaska,AL03 - Anchorage  (ANC),,,No,
"ELLIS, WENDELL KIRK",NA8C,Alaska,AL03 - Anchorage  (ANC),,,No,
ELLISON AIR INC,ELXA,Alaska,AL03 - Anchorage  (ANC),,,No,
"Earth Center Adventures, Inc",E4HA,Alaska,AL05 - Juneau (JNU),,,No,
"Eaton, Glen",EN0C,Alaska,AL05 - Juneau (JNU),,,No,
"Emerald Air Service, Inc",EY6C,Alaska,AL05 - Juneau (JNU),,,No,
FEJES GUIDE SERVICE LIMITED,F0JC,Alaska,AL03 - Anchorage  (ANC),,,No,
"FILKILL, DAVID B",YEOC,Alaska,AL03 - Anchorage  (ANC),,,No,
FLIGHT SAFETY ALASKA INC.,BR8C,Alaska,AL03 - Anchorage  (ANC),,,No,
FLY 4 YOU INC                                     ,3SVA,Alaska,AL03 - Anchorage  (ANC),,,No,
FLY DENALI INC.,A3WC,Alaska,AL01 - Fairbanks (FAI),,,No,
FOX AIRCRAFT LLC,9FXA,Alaska,AL03 - Anchorage  (ANC),,,No,
FRESH WATER ADVENTURES INC,BPMC,Alaska,AL03 - Anchorage  (ANC),,,No,
FULL CURL AVIATION LLC,3FCC,Alaska,AL03 - Anchorage  (ANC),,,No,
"Family Air Tours, LLC",F52C,Alaska,AL05 - Juneau (JNU),,,No,
"Flying Moose Alaska, LLC",FMKC,Alaska,AL01 - Fairbanks (FAI),,,No,
"Freeman Carter Aviation, LLC",9F3C,Alaska,AL05 - Juneau (JNU),,,No,
GLACIER FLIGHT,WW1C,Alaska,AL03 - Anchorage  (ANC),,,No,
"GLASER, DONALD E",GQDC,Alaska,AL03 - Anchorage  (ANC),,,No,
GOD'S COUNTRY AVIATION LLC,3GYC,Alaska,AL03 - Anchorage  (ANC),,,No,
"GQ Aviation, Inc.",GQ9C,Alaska,AL03 - Anchorage  (ANC),,,No,
GRANT AVIATION INC,ENHA,Alaska,AL03 - Anchorage  (ANC),,,No,
GRASSHOPPER AVIATION LLC,G7HA,Alaska,AL03 - Anchorage  (ANC),,,No,
"GRETZKE, ROBERT C",WN6A,Alaska,AL03 - Anchorage  (ANC),,,No,
"Gary Air Services, LLC",5GTA,Alaska,AL05 - Juneau (JNU),,,No,
"Glenn Brother Investments, LLC",ENGC,Alaska,AL01 - Fairbanks (FAI),,,No,
"Golden Eagle Outfitters, Inc",G6UA,Alaska,AL01 - Fairbanks (FAI),,,No,
HAGELAND AVIATION SERVICES INC,EPUA,Alaska,AL03 - Anchorage  (ANC),,,No,
HAWK MOUNTAIN AIR LLC,T5HA,Alaska,AL03 - Anchorage  (ANC),,,No,
HELI ALASKA INC,1EKA,Alaska,AL03 - Anchorage  (ANC),,,No,
"HELICOPTER AIR ALASKA, LLC",1TQC,Alaska,AL03 - Anchorage  (ANC),,,No,
HILINE AVIATION LLC,71HC,Alaska,AL03 - Anchorage  (ANC),,,No,
"Harris Aircraft Services, Inc",5WZA,Alaska,AL05 - Juneau (JNU),,,No,
"Hermens Helicopters, Inc.",H5HA,Alaska,AL03 - Anchorage  (ANC),,,No,
"High Adventure Air Charter, Guides, and Outfitters",ZKTC,Alaska,AL05 - Juneau (JNU),,,No,
"Homer Air, Inc",ENEA,Alaska,AL05 - Juneau (JNU),,,No,
Husky Air Services LLC,WK0C,Alaska,AL03 - Anchorage  (ANC),,,No,
ICE AGE LLC,4LOC,Alaska,AL03 - Anchorage  (ANC),,,No,
ICY STRAIT AVIATION LLC,3IIC,Alaska,AL03 - Anchorage  (ANC),,,No,
IDITAROD AIR LLC,3IAA,Alaska,AL03 - Anchorage  (ANC),,,No,
ILIAMNA AIR TAXI INC,EONA,Alaska,AL03 - Anchorage  (ANC),,,No,
Island Wings Air Service LLC,IW7A,Alaska,AL05 - Juneau (JNU),,,No,
J AND M ALASKA AIR TOURS INC,HVUA,Alaska,AL03 - Anchorage  (ANC),,,No,
"JOHNSTON, THOMAS",S2TC,Alaska,AL03 - Anchorage  (ANC),,,No,
"JONES, ROBERT D JR",H4AC,Alaska,AL03 - Anchorage  (ANC),,,No,
JUNIPOGO LLC,3JPA,Alaska,AL03 - Anchorage  (ANC),,,No,
K AIRCRAFT LEASING INC,3KCA,Alaska,AL03 - Anchorage  (ANC),,,No,
K Bay Air LLC,K99A,Alaska,AL05 - Juneau (JNU),,,No,
KANTISHNA AIR TAXI INC,XAKC,Alaska,AL01 - Fairbanks (FAI),,,No,
"KATMAI AIR, LLC",ENFA,Alaska,AL03 - Anchorage  (ANC),,,No,
KAVAN AIR LLC,3KVA,Alaska,AL03 - Anchorage  (ANC),,,No,
"KELLER, MATTHEW CHARLES",B9HA,Alaska,AL03 - Anchorage  (ANC),,,No,
KING AIR INC,KQAC,Alaska,AL03 - Anchorage  (ANC),,,No,
"KIRST, FOREST",K70A,Alaska,AL01 - Fairbanks (FAI),,,No,
"Kachemak Air Service, LLC",BJHA,Alaska,AL05 - Juneau (JNU),,,No,
"Kalinin Aviation, LLC",P9KA,Alaska,AL05 - Juneau (JNU),,,No,
"Kavik Aviation Services, LLC",5KRC,Alaska,AL05 - Juneau (JNU),,,No,
"Kenai Aviation Operations, LLC",ELYA,Alaska,AL05 - Juneau (JNU),,,No,
"Kennedy, Jared Wayne",4JWC,Alaska,AL05 - Juneau (JNU),,,No,
"Ketchikan Airways, LLC",5KIA,Alaska,AL03 - Anchorage  (ANC),,,No,
"Kingfisher Air, Inc",K0EC,Alaska,AL05 - Juneau (JNU),,,No,
Kodiak Air Service,3KOC,Alaska,AL05 - Juneau (JNU),,,No,
LAKE AND PENINSULA AIRLINES INC,QPOA,Alaska,AL03 - Anchorage  (ANC),,,No,
LAKE CLARK AIR INC,HXXC,Alaska,AL03 - Anchorage  (ANC),,,No,
LAND AND SEA AVIATION ALASKA LLC,4LAC,Alaska,AL03 - Anchorage  (ANC),,,No,
"LEE, GERALD R.",BSQA,Alaska,AL03 - Anchorage  (ANC),,,No,
LEGENDS LLC,W4WC,Alaska,AL03 - Anchorage  (ANC),,,No,
"Lechner, Burdette J",BJLC,Alaska,AL05 - Juneau (JNU),,,No,
"Lee's Sea-Air, Inc.",FWJC,Alaska,AL01 - Fairbanks (FAI),,,No,
"Litzen Guide Service, Inc",MBPC,Alaska,AL05 - Juneau (JNU),,,No,
"M A A, Inc.",MQAA,Alaska,AL03 - Anchorage  (ANC),,,No,
"MACK AIR, LLC",T0KC,Alaska,AL03 - Anchorage  (ANC),,,No,
"MAGNUSON AIRWAYS, LLC",U5RC,Alaska,AL03 - Anchorage  (ANC),,,No,
MALLEN AIR LLC,38MA,Alaska,AL01 - Fairbanks (FAI),,,No,
MCCARTHY AIR LLC,MGWA,Alaska,AL03 - Anchorage  (ANC),,,No,
"MCMAHAN, HARLEY B",HYCA,Alaska,AL03 - Anchorage  (ANC),,,No,
"MEEKIN, MICHAEL",EQKC,Alaska,AL03 - Anchorage  (ANC),,,No,
"MILLER, JONATHAN LUKE",7FYC,Alaska,AL03 - Anchorage  (ANC),,,No,
"MINTA, INC.",W9RA,Alaska,AL03 - Anchorage  (ANC),,,No,
MISTY AIR LLC,8MYA,Alaska,AL03 - Anchorage  (ANC),,,No,
MT. HAYES AIR,JR7C,Alaska,AL01 - Fairbanks (FAI),,,No,
MULCHATNA AIR TAXI LLC,UXLC,Alaska,AL03 - Anchorage  (ANC),,,No,
"Marathon Helicopters, LLC",1M8C,Alaska,AL05 - Juneau (JNU),,,No,
"Maritime Helicopters, Inc",ENRA,Alaska,AL05 - Juneau (JNU),,,No,
Midnight Air LLC,3R3C,Alaska,AL03 - Anchorage  (ANC),,,No,
"Misty Fjords Air and Outfitting, Inc",EKTA,Alaska,AL05 - Juneau (JNU),,,No,
"Mountain Flying Service, LLC",OUFA,Alaska,AL05 - Juneau (JNU),,,No,
"Munich, Hans W",H2MA,Alaska,AL05 - Juneau (JNU),,,No,
N2 Alaska llc,T26C,Alaska,AL03 - Anchorage  (ANC),,,No,
NEACOLA MTN AIR LLC,5NMC,Alaska,AL03 - Anchorage  (ANC),,,No,
NEITZ AVIATION INC,NZYC,Alaska,AL03 - Anchorage  (ANC),,,No,
NORSE FLIGHT INC,4NFA,Alaska,AL03 - Anchorage  (ANC),,,No,
NORTHERN PIONEER HELICOPTERS LLC,NP6A,Alaska,AL03 - Anchorage  (ANC),,,No,
NUNAK AIR TAXI LLC,2NUC,Alaska,AL03 - Anchorage  (ANC),,,No,
"Natron Air, Inc",N3NC,Alaska,AL05 - Juneau (JNU),,,No,
"Navair, Inc.",N6VA,Alaska,AL01 - Fairbanks (FAI),,,No,
"Nordic Air, LLC",NOGA,Alaska,AL05 - Juneau (JNU),,,No,
"North River Air, LLC.",1NRC,Alaska,AL05 - Juneau (JNU),,,No,
"Northstar Aero, LLC",J1OC,Alaska,AL05 - Juneau (JNU),,,No,
"Northstar Trekking, LLC",N5JA,Alaska,AL05 - Juneau (JNU),,,No,
"Northwind Aviation, LLC",QNWA,Alaska,AL05 - Juneau (JNU),,,No,
"ONEY, ANTHONY KING",ONYC,Alaska,AL03 - Anchorage  (ANC),,,No,
OSPREY AIR INC,O3SC,Alaska,AL03 - Anchorage  (ANC),,,No,
OTTER AIR LLC,3OTC,Alaska,AL03 - Anchorage  (ANC),,,No,
"PETRIE, MICHAEL A",MPRC,Alaska,AL03 - Anchorage  (ANC),,,No,
POLARIS AIR LLC,1PKC,Alaska,AL01 - Fairbanks (FAI),,,No,
POLLUX AVIATION LTD,UPXC,Alaska,AL03 - Anchorage  (ANC),,,No,
PRECISION PLUS INC,PPOC,Alaska,AL03 - Anchorage  (ANC),,,No,
PTARMIGAN AIR LLC,YGZC,Alaska,AL03 - Anchorage  (ANC),,,No,
"Paklook Air, Inc",T72A,Alaska,AL03 - Anchorage  (ANC),,,No,
